Model,Fiyat,Resim_Link,Kaynak_Link,United Kingdom,The Netherlands,Germany,City - Cold Weather *,Highway - Cold Weather *,Combined - Cold Weather *,City - Mild Weather *,Highway - Mild Weather *,Combined - Mild Weather *,First Leg Distance,Charging Stop,Second Leg Distance,Total Distance,First Leg Duration,Second Leg Duration,Total Duration,Nominal Capacity,Battery Type,Number of Cells,Architecture,Warranty Period,Warranty Mileage,Useable Capacity,Cathode Material,Pack Configuration,Nominal Voltage,Form Factor,Name / Reference,Charge Port,Port Location,Charge Power,Charge Time (0->265 km),Charge Speed,Charge Power (max),Charge Power (10-80%),Autocharge Supported,Plug & Charge Supported,Supported Protocol,Preconditioning Possible,Automatically using Navigation,Acceleration 0 - 100 km/h,Top Speed,Electric Range *,Total Power,Total Torque,Drive,V2L Supported,Max. Output Power,Exterior Outlet(s),Interior Outlet(s),V2H via AC Supported,V2H via DC Supported,V2G via AC Supported,V2G via DC Supported,Range *,Vehicle Consumption *,CO2 Emissions,Vehicle Fuel Equivalent *,Range,Rated Consumption,Vehicle Consumption,Rated Fuel Equivalent,Vehicle Fuel Equivalent,Length,Width,Width with mirrors,Height,Wheelbase,Weight Unladen (EU),Gross Vehicle Weight (GVWR),Max. Payload,Cargo Volume,Cargo Volume Max,Cargo Volume Frunk,Roof Load,Tow Hitch Possible,Towing Weight Unbraked,Towing Weight Braked,Vertical Load Max,Seats,Isofix,Turning Circle,Platform,EV Dedicated Platform,Car Body,Segment,Roof Rails,Heat pump (HP),HP Standard Equipment,0,1,2,3,4,5,Useable Capacity*,Charge Time (0->455 km),Total Power *,Total Torque *,Adult Occupant,Child Occupant,Rating Year,Vulnerable Road Users,Safety Assist,Charge Time (0->255 km),Charge Time (0->425 km),City - Cold Weather,Highway - Cold Weather,Combined - Cold Weather,City - Mild Weather,Highway - Mild Weather,Combined - Mild Weather,Charge Time (0->370 km),Electric Range,Weight Measured,Weight Distribution (F/R),Weight Front Axle,Weight Rear Axle,Charge Time (0->230 km),Charge Time (0->205 km),Nominal Capacity							*,Charge Time (0->365 km),Charge Time (0->470 km),Charge Time (0->500 km),Charge Time (0->275 km),Charge Time (0->325 km),Charge Time (0->315 km),Charge Time (0->250 km),Charge Time (0->270 km),Acceleration 0 - 100 km/h *,Charge Time (0->465 km),Charge Time (0->85 km),Port Location 2,Charge Time (0->485 km),Charge Time (0->300 km),Charge Time (0->440 km),Port Location 2 ‡,Charge Time (0->525 km),Charge Time (0->480 km),Charge Time (0->460 km),Charge Time (0->355 km),Charge Time (0->495 km),Charge Time (0->95 km),Charge Time (0->530 km),Charge Time (0->335 km),Charge Time (0->360 km),Charge Time (0->385 km),Charge Time (0->505 km),Charge Time (0->520 km),Charge Time (0->545 km),Charge Time (0->390 km),Charge Time (0->415 km),Charge Power (max) *,Charge Power (10-80%) *,Charge Speed *,Charge Time (0->350 km),Charge Time (0->280 km),Charge Time (0->450 km),Charge Time (0->345 km),Charge Time (0->165 km),Charge Time (0->290 km),Charge Time (0->170 km),Charge Time (0->185 km),Charge Time (0->320 km),Charge Time (0->380 km),Charge Time (0->150 km),Charge Time (0->420 km),Charge Time (0->445 km),Charge Time (0->550 km),Charge Time (0->225 km),Charge Time (0->475 km),Weight Unladen (EU) *,Charge Time (0->435 km),Charge Time (0->310 km),Charge Time (0->285 km),Charge Time (0->540 km),Charge Time (0->400 km),Charge Time (0->180 km),Charge Time (0->405 km),Charge Time (0->235 km),Charge Time (0->720 km),Charge Time (0->295 km),Charge Time (0->490 km),Charge Time (0->135 km),Length *,Width *,Width with mirrors *,Height *,Towing Weight Unbraked *,Towing Weight Braked *,Vertical Load Max *,Charge Time (0->125 km),Charge Time (0->260 km),Charge Time (0->410 km),Rated Consumption *,Rated Fuel Equivalent *,Charge Time (0->565 km),Charge Time (0->160 km),United Kingdom *,Charge Time (0->240 km),Charge Time (0->395 km),Charge Time (0->510 km),Charge Time (0->340 km),Charge Time (0->430 km),Charge Time (0->555 km),Charge Time (0->100 km),Charge Time (0->330 km),Charge Time (0->140 km),Charge Time (0->245 km),The Netherlands *,Charge Time (0->605 km),Charge Time (0->375 km),Charge Time (0->175 km),Charge Time (0->190 km),Charge Time (0->120 km),Charge Time (0->535 km),Charge Time (0->665 km),Charge Time (0->200 km),Charge Time (0->515 km),Charge Time (0->570 km),Charge Time (0->580 km),Charge Time (0->305 km),Charge Time (0->615 km),Charge Time (0->610 km),Germany *,Charge Time (0->220 km),Charge Time (0->590 km),Charge Time (0->575 km),Charge Time (0->640 km),Charge Time (0->215 km),Charge Time (0->560 km),Charge Time (0->585 km),Charge Time (0->685 km),Charge Time (0->210 km),Charge Time (0->635 km),Charge Time (0->600 km),Top Speed *,Charge Time (0->145 km),Charge Time (0->655 km),Charge Time (0->155 km),Charge Time (0->105 km),Charge Time (0->115 km),Charge Power *,Charge Time (0->500 km) *,Charge Time (0->350 km) *,Charge Time (0->670 km),kW_Gucu,Euro_Fiyat,Tahmini_TR_Fiyati_TL
Volkswagen ID.3 Pure Performance,N/A,,https://ev-database.org/car/1530/Volkswagen-ID3-Pure-Performance,Aug 2021 - Jan 2022,Jul 2021 - Dec 2022,Not Available,,,,,,,197 km,15 min,102 km,299 km,1h 47min,56min,2h 58min,55.0 kWh,Lithium-ion,192,400 V,8 years,"160,000 km",45.0 kWh,NMC721,96s2p,352 V,Pouch,No Data,CCS,Right Side - Rear,7.2 kW AC,,410 km/h,101 kW DC,71 kW DC,No,Yes,ISO 15118-2,No,No,8.9 sec,160 km/h,,110 kW (150 PS),310 Nm,Rear,No,-,-,-,No,No,No,No,,,0 g/km,,330 km,158 Wh/km,136 Wh/km,1.8 l/100km,1.5 l/100km,4261 mm,1809 mm,2070 mm,1568 mm,2771 mm,1781 kg,2250 kg,544 kg,385 L,1267 L,0 L,0 kg,No Data,0 kg,0 kg,No Data,5 people,"Yes, 3 seats",10.2 m,VAG MEB,Yes,Hatchback,C - Medium,No,Yes,"No, optional",less than 200 km,from 200 km to 325 km,from 325 km to 450 km,from 450 km to 575 km,from 575 km to 700 km,more than 700 km,,,,,87%,89%,2020,71%,88%,,,170 Wh/km,231 Wh/km,196 Wh/km,111 Wh/km,180 Wh/km,143 Wh/km,,275 km,,,,,,,,,,,7h30m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.0,0,0
MG MG4 Urban Comfort Long Range (MY26),N/A,,https://ev-database.org/car/3471/MG-MG4-Urban-Comfort-Long-Range,Since February 2026,Since February 2026,Not Available,165 Wh/km,230 Wh/km,196 Wh/km,109 Wh/km,179 Wh/km,141 Wh/km,232 km,15 min,96 km,328 km,2h 7min,52min,3h 14min,53.9 kWh,Lithium-ion,No Data,400 V,8 years,No Data,52.8 kWh,LFP,No Data,321 V,No Data,No Data,CCS,Left Side - Front,11 kW AC,,440 km/h,87 kW DC,75 kW DC,Yes,No,-,No,No,9.5 sec,160 km/h,325 km,118 kW (160 PS),250 Nm,Front,Yes,-,1 x Type 2 (Adapter),-,No,No,No,No,325 km,162 Wh/km,0 g/km,1.8 l/100km,416 km,153 Wh/km,127 Wh/km,1.7 l/100km,1.4 l/100km,4395 mm,1842 mm,2139 mm,1549 mm,2750 mm,1520 kg,1970 kg,525 kg,577 L,1364 L,0 L,75 kg,Yes,500 kg,500 kg,45 kg,5 people,"Yes, 2 seats",10.5 m,SAIC E3,Yes,Hatchback,C - Medium,Yes,Yes,Yes,less than 200 km,from 200 km to 325 km,from 325 km to 450 km,from 450 km to 575 km,from 575 km to 700 km,more than 700 km,,,,,87%,85%,2025,85%,80%,,,,,,,,,,,,,,,,,,,,,,5h45m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,0,0
MG Marvel R,N/A,,https://ev-database.org/car/1524/MG-Marvel-R,Not Available,Oct 2021 - Feb 2025,Oct 2021 - Feb 2025,189 Wh/km,275 Wh/km,226 Wh/km,130 Wh/km,215 Wh/km,169 Wh/km,257 km,15 min,87 km,344 km,2h 20min,47min,3h 22min,,Lithium-ion,No Data,400 V,7 years,"150,000 km",,No Data,No Data,No Data,No Data,No Data,CCS,Right Side - Rear,11 kW AC,,400 km/h,94 kW DC,81 kW DC,Yes,No,-,Yes,No,7.9 sec,200 km/h,365 km,132 kW (179 PS),410 Nm,Rear,Yes,-,1 x Type 2 (Adapter),-,No,No,No,No,365 km,192 Wh/km,0 g/km,2.2 l/100km,402 km,194 Wh/km,174 Wh/km,2.2 l/100km,2.0 l/100km,4674 mm,1919 mm,2097 mm,1618 mm,2804 mm,1885 kg,2288 kg,478 kg,357 L,1396 L,150 L,No Data,Yes,750 kg,750 kg,50 kg,5 people,"Yes, 2 seats",11.5 m,No Data,No Data,SUV,JC - Medium,Yes,Yes,Yes,less than 200 km,from 200 km to 325 km,from 325 km to 450 km,from 450 km to 575 km,from 575 km to 700 km,more than 700 km,70.0 kWh,,,,80%,75%,2021,55%,80%,,,,,,,,,,,,,,,,,75.0 kWh,7h30m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,0,0
Opel Corsa Electric 51 kWh (MY24),N/A,,https://ev-database.org/car/1942/Opel-Corsa-Electric-51-kWh,Jul 2023 - Apr 2025,Jul 2023 - Apr 2025,Jul 2023 - Apr 2025,158 Wh/km,219 Wh/km,182 Wh/km,101 Wh/km,166 Wh/km,132 Wh/km,225 km,15 min,114 km,338 km,2h 3min,1h 2min,3h 20min,51.0 kWh,Lithium-ion,96,400 V,8 years,"160,000 km",48.1 kWh,NMC811,96s1p,355 V,Prismatic,No Data,CCS,Left Side - Rear,7.4 kW AC,,470 km/h,100 kW DC,76 kW DC,Yes,No,-,No,No,8.1 sec,150 km/h,315 km,115 kW (156 PS),260 Nm,Front,No,-,-,-,No,No,No,No,315 km,153 Wh/km,0 g/km,1.7 l/100km,402 km,146 Wh/km,120 Wh/km,1.6 l/100km,1.3 l/100km,4061 mm,1765 mm,1960 mm,1435 mm,2538 mm,1544 kg,1920 kg,451 kg,267 L,1042 L,0 L,70 kg,No,0 kg,0 kg,0 kg,5 people,"Yes, 3 seats",10.7 m,PSA e-CMP,No,Hatchback,B - Compact,No,Yes,Yes,less than 200 km,from 200 km to 325 km,from 325 km to 450 km,from 450 km to 575 km,from 575 km to 700 km,more than 700 km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7h45m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.0,0,0
Opel Zafira-e Life L 75 kWh,N/A,,https://ev-database.org/car/1349/Opel-Zafira-e-Life-L-75-kWh,Not Available,Feb 2021 - Jan 2024,Feb 2021 - Jan 2024,242 Wh/km,373 Wh/km,300 Wh/km,175 Wh/km,300 Wh/km,234 Wh/km,185 km,15 min,67 km,252 km,1h 41min,37min,2h 33min,75.0 kWh,Lithium-ion,324,400 V,8 years,"160,000 km",69.0 kWh,NMC622,108s3p,400 V,Prismatic,No Data,CCS,Left Side - Front,7.4 kW AC,11 hours,270 km/h,100 kW DC,77 kW DC,Yes,No,-,No,No,13.3 sec,130 km/h,265 km,100 kW (136 PS),260 Nm,Front,No,-,-,-,No,No,No,No,265 km,260 Wh/km,0 g/km,2.9 l/100km,330 km,No Data,209 Wh/km,No Data,2.3 l/100km,5306 mm,1920 mm,2204 mm,1890 mm,3275 mm,2161 kg,2970 kg,884 kg,No Data,No Data,0 L,0 kg,Yes,750 kg,1000 kg,60 kg,9 people,"Yes, 3 seats",12.4 m,PSA EMP2,No,Small Passenger Van,N - Passenger Van,No,Varies by country,Varies by country,less than 200 km,from 200 km to 325 km,from 325 km to 450 km,from 450 km to 575 km,from 575 km to 700 km,more than 700 km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.0,0,0
Volkswagen e-Transporter Kombi L2 160 kW 64 kWh,N/A,,https://ev-database.org/car/3313/Volkswagen-e-Transporter-Kombi-L2-160-kW-64-kWh,Not Available,Since March 2025,Since March 2025,241 Wh/km,365 Wh/km,297 Wh/km,172 Wh/km,290 Wh/km,228 Wh/km,175 km,15 min,75 km,250 km,1h 36min,41min,2h 32min,,Lithium-ion,No Data,400 V,8 years,"160,000 km",63.8 kWh,NMC,No Data,303 V,No Data,No Data,CCS,Right Side - Front,11 kW AC,,270 km/h,125 kW DC,75 kW DC,No,No Data,No Data,No Data,No Data,8.6 sec,150 km/h,250 km,160 kW (218 PS),415 Nm,Rear,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,250 km,255 Wh/km,0 g/km,2.9 l/100km,280 km,267 Wh/km,228 Wh/km,3.0 l/100km,2.6 l/100km,5450 mm,1999 mm,2275 mm,1980 mm,3100 mm,2348 kg,3350 kg,1077 kg,1000 L,5490 L,0 L,170 kg,Yes,750 kg,2000 kg,80 kg,9 people,No Data,13.8 m,No Data,No,Small Passenger Van,N - Passenger Van,No,Yes,Yes,less than 200 km,from 200 km to 325 km,from 325 km to 450 km,from 450 km to 575 km,from 575 km to 700 km,more than 700 km,,,,,,,,,,,,,,,,,,,,,,,,,,68.0 kWh,,,,,,,7 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,0,0
Ford e-Tourneo Custom L1 160 kW RWD,N/A,,https://ev-database.org/car/3420/Ford-e-Tourneo-Custom-L1-160-kW-RWD,Since December 2025,Since December 2025,Since December 2025,249 Wh/km,374 Wh/km,309 Wh/km,178 Wh/km,302 Wh/km,237 Wh/km,189 km,15 min,83 km,272 km,1h 43min,46min,2h 44min,,Lithium-ion,No Data,400 V,No Data,No Data,71.0 kWh,NMC,No Data,No Data,No Data,No Data,CCS,Front Side - Right,11 kW AC,,370 km/h,125 kW DC,105 kW DC,Yes,No,-,No Data,No Data,,130 km/h,270 km,160 kW (218 PS),415 Nm,Rear,No,-,-,-,No,No,No,No,270 km,263 Wh/km,0 g/km,3.0 l/100km,290 km,420 Wh/km,245 Wh/km,4.7 l/100km,2.8 l/100km,5050 mm,1999 mm,2275 mm,1959 mm,3100 mm,2432 kg,3280 kg,923 kg,672 L,4683 L,0 L,No Data,Yes,750 kg,2000 kg,No Data,8 people,No Data,10.9 m,No Data,No Data,Small Passenger Van,N - Passenger Van,Yes,Yes,Yes,less than 200 km,from 200 km to 325 km,from 325 km to 450 km,from 450 km to 575 km,from 575 km to 700 km,more than 700 km,,,,,86%,86%,2025,79%,66%,,,,,,,,,,,,,,,,,75.0 kWh,,,,,,,,7h45m,9.0 sec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,0,0
Volkswagen ID.3 Pro S (MY24-25),N/A,,https://ev-database.org/car/2210/Volkswagen-ID3-Pro-S,Jun 2024 - Jul 2025,Jun 2024 - Jul 2025,May 2024 - Jul 2025,171 Wh/km,233 Wh/km,197 Wh/km,113 Wh/km,179 Wh/km,144 Wh/km,336 km,15 min,174 km,511 km,3h 3min,1h 35min,4h 53min,82.0 kWh,Lithium-ion,288,400 V,8 years,"160,000 km",77.0 kWh,NMC,96s3p,352 V,No Data,No Data,CCS,Right Side - Rear,11 kW AC,,690 km/h,175 kW DC,120 kW DC,No,Yes,ISO 15118-2,Yes,Yes,7.1 sec,160 km/h,465 km,170 kW (231 PS),310 Nm,Rear,No,10.0 kW DC,-,-,No,Announced,No,Announced,465 km,166 Wh/km,0 g/km,1.9 l/100km,559 km,156 Wh/km,138 Wh/km,1.8 l/100km,1.5 l/100km,4264 mm,1809 mm,2070 mm,1564 mm,2770 mm,1957 kg,2420 kg,538 kg,385 L,1267 L,0 L,0 kg,Yes,0 kg,0 kg,75 kg,5 people,"Yes, 3 seats",10.3 m,VAG MEB,Yes,Hatchback,C - Medium,No,Yes,"No, optional",less than 200 km,from 200 km to 325 km,from 325 km to 450 km,from 450 km to 575 km,from 575 km to 700 km,more than 700 km,,,,,86%,87%,2025,78%,76%,,,,,,,,,,,,,,,,,,,,,,,,,,,8h15m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,0,0
Citroën C-Zero,N/A,,https://ev-database.org/car/1027/Citroen-C-Zero,Jan 2011 - Apr 2016,Jan 2011 - Apr 2016,Jan 2011 - Apr 2016,,,,,,,62 km,15 min,39 km,101 km,34min,21min,1h 10min,16.0 kWh,Lithium-ion,No Data,No Data,No Data,No Data,14.5 kWh,No Data,No Data,No Data,No Data,No Data,CHAdeMO,Left Side - Rear,3.7 kW AC,,170 km/h,40 kW DC,30 kW DC,No,No,-,No,No,15.9 sec,130 km/h,,47 kW (64 PS),180 Nm,Rear,No,-,-,-,No,No,No,No,,,0 g/km,,150 km,126 Wh/km,97 Wh/km,1.4 l/100km,1.1 l/100km,3480 mm,1475 mm,No Data,1600 mm,2550 mm,1140 kg,1450 kg,385 kg,166 L,860 L,No Data,0 kg,No Data,0 kg,0 kg,No Data,4 people,"Yes, 2 seats",9 m,No Data,No Data,Hatchback,A - Mini,No,No Data,No Data,less than 200 km,from 200 km to 325 km,from 325 km to 450 km,from 450 km to 575 km,from 575 km to 700 km,more than 700 km,,,,,73%,78%,2011,48%,86%,,,161 Wh/km,242 Wh/km,193 Wh/km,107 Wh/km,181 Wh/km,145 Wh/km,,85 km,,,,,,,,,,,,,,,,,,4h45m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,0,0
Porsche Taycan Turbo S Cross Turismo,N/A,,https://ev-database.org/car/2113/Porsche-Taycan-Turbo-S-Cross-Turismo,Since February 2024,Since February 2024,Since February 2024,204 Wh/km,277 Wh/km,237 Wh/km,141 Wh/km,216 Wh/km,176 Wh/km,354 km,15 min,265 km,620 km,3h 13min,2h 25min,5h 53min,105.0 kWh,Lithium-ion,396,800 V,8 years,"160,000 km",97.0 kWh,NMC811,198s2p,730 V,Pouch,No Data,CCS,Passenger Side - Front,11 kW AC,,1270 km/h,322 kW DC,267 kW DC,Yes,Yes,ISO 15118-2,Yes,Yes,2.5 sec,250 km/h,485 km,700 kW (952 PS),1110 Nm,AWD,No,-,-,-,No,No,No,No,485 km,200 Wh/km,0 g/km,2.2 l/100km,516 km,220 Wh/km,188 Wh/km,2.5 l/100km,2.1 l/100km,4974 mm,1967 mm,2144 mm,1407 mm,2904 mm,2400 kg,2880 kg,555 kg,405 L,1171 L,84 L,75 kg,No,0 kg,0 kg,0 kg,5 people,"Yes, 2 seats",11.4 m,VAG J1,Yes,Station/Estate,F - Luxury,No,Yes,Yes,less than 200 km,from 200 km to 325 km,from 325 km to 450 km,from 450 km to 575 km,from 575 km to 700 km,more than 700 km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Driver's Side - Front,10h30m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,0,0
Peugeot e-308 SW (MY23-25),N/A,,https://ev-database.org/car/1745/Peugeot-e-308-SW,Jan 2024 - Nov 2025,Aug 2023 - Sep 2025,Oct 2023 - Oct 2025,175 Wh/km,242 Wh/km,203 Wh/km,115 Wh/km,185 Wh/km,147 Wh/km,214 km,15 min,108 km,322 km,1h 57min,59min,3h 11min,54.0 kWh,Lithium-ion,102,400 V,8 years,"160,000 km",50.8 kWh,NMC811,102s1p,377 V,Prismatic,No Data,CCS,Right Side - Rear,11 kW AC,,450 km/h,107 kW DC,79 kW DC,Yes,No,-,No,No,10.0 sec,170 km/h,300 km,115 kW (156 PS),260 Nm,Front,No,-,-,-,No,No,No,No,300 km,169 Wh/km,0 g/km,1.9 l/100km,404 km,153 Wh/km,126 Wh/km,1.7 l/100km,1.4 l/100km,4636 mm,1852 mm,2062 mm,1442 mm,2732 mm,1791 kg,2175 kg,459 kg,548 L,1402 L,0 L,0 kg,No,0 kg,0 kg,0 kg,5 people,"Yes, 2 seats",10.7 m,PSA EMP2,No,Station/Estate,C - Medium,No,Yes,Yes,less than 200 km,from 200 km to 325 km,from 325 km to 450 km,from 450 km to 575 km,from 575 km to 700 km,more than 700 km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5h30m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,0,0
Volkswagen ID.4 Pro 4MOTION (MY27),N/A,,https://ev-database.org/car/3497/Volkswagen-ID4-Pro-4MOTION,Since April 2026,Since March 2026,Since March 2026,181 Wh/km,244 Wh/km,208 Wh/km,120 Wh/km,190 Wh/km,152 Wh/km,319 km,15 min,159 km,478 km,2h 54min,1h 27min,4h 36min,82.0 kWh,Lithium-ion,No Data,400 V,8 years,"160,000 km",77.0 kWh,NMC,No Data,358 V,No Data,No Data,CCS,Right Side - Rear,11 kW AC,,610 km/h,165 kW DC,115 kW DC,No,Yes,ISO 15118-2,Yes,Yes,6.1 sec,180 km/h,440 km,220 kW (299 PS),No Data,AWD,Yes,No Data,1 x Type 2 (Adapter),-,No,Announced,No,Announced,440 km,175 Wh/km,0 g/km,2.0 l/100km,561 km,160 Wh/km,137 Wh/km,1.8 l/100km,1.5 l/100km,4582 mm,1852 mm,2108 mm,1619 mm,2773 mm,2219 kg,2760 kg,616 kg,533 L,1565 L,0 L,75 kg,Yes,750 kg,1800 kg,75 kg,5 people,"Yes, 3 seats",11.6 m,VAG MEB,Yes,SUV,JC - Medium,Yes,Yes,"No, optional",less than 200 km,from 200 km to 325 km,from 325 km to 450 km,from 450 km to 575 km,from 575 km to 700 km,more than 700 km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8h15m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,0,0
Audi Q8 Sportback e-tron 55 quattro,N/A,,https://ev-database.org/car/1772/Audi-Q8-Sportback-e-tron-55-quattro,Dec 2022 - Nov 2024,Dec 2022 - Nov 2024,Dec 2022 - Nov 2024,,,,,,,389 km,15 min,154 km,543 km,3h 32min,1h 24min,5h 11min,114.0 kWh,Lithium-ion,432,400 V,No Data,No Data,106.0 kWh,NCA,108s4p,396 V,Prismatic,No Data,CCS,Driver's Side - Front,11 kW AC,,680 km/h,168 kW DC,145 kW DC,Yes,Yes,ISO 15118-2,Yes,No,5.6 sec,200 km/h,,300 kW (408 PS),664 Nm,AWD,No,-,-,-,No,No,No,No,,,0 g/km,,487 km,241 Wh/km,218 Wh/km,2.7 l/100km,2.4 l/100km,4915 mm,1937 mm,2189 mm,1619 mm,2928 mm,2585 kg,3180 kg,670 kg,528 L,1567 L,62 L,75 kg,Yes,750 kg,1800 kg,80 kg,5 people,"Yes, 3 seats",12.2 m,VAG MLB Evo,No,SUV,JE - Executive,No,Yes,Yes,less than 200 km,from 200 km to 325 km,from 325 km to 450 km,from 450 km to 575 km,from 575 km to 700 km,more than 700 km,,,,,91%,85%,2019,71%,76%,,,208 Wh/km,275 Wh/km,238 Wh/km,143 Wh/km,216 Wh/km,178 Wh/km,,525 km,2740 kg,50% / 50%,1380 kg,1360 kg,,,,,,,,,,,,,,,,,,,Passenger Side - Front,11h30m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,0,0
BYD SEAL 82.5 kWh RWD Design (MY23-25),N/A,,https://ev-database.org/car/2001/BYD-SEAL-825-kWh-RWD-Design,Sep 2023 - Feb 2026,Since September 2023,Oct 2023 - Mar 2026,181 Wh/km,236 Wh/km,206 Wh/km,121 Wh/km,181 Wh/km,149 Wh/km,356 km,15 min,151 km,507 km,3h 14min,1h 23min,4h 52min,,Lithium-ion,172,800 V,8 years,"250,000 km",82.5 kWh,LFP,172s1p,550 V,Prismatic,BYD BLADE,CCS,Right Side - Rear,11 kW AC,,560 km/h,150 kW DC,100 kW DC,Yes,No,-,No,No,5.9 sec,180 km/h,480 km,230 kW (313 PS),360 Nm,Rear,Yes,-,1 x Type 2 (Adapter),-,No,No,No,No,480 km,172 Wh/km,0 g/km,1.9 l/100km,570 km,166 Wh/km,145 Wh/km,1.9 l/100km,1.6 l/100km,4800 mm,1875 mm,2150 mm,1460 mm,2920 mm,2130 kg,2501 kg,446 kg,400 L,1440 L,53 L,No Data,Yes,750 kg,1000 kg,75 kg,5 people,"Yes, 3 seats",11.4 m,BYD e-Platform 3.0,Yes,Sedan,D - Large,No,Yes,Yes,less than 200 km,from 200 km to 325 km,from 325 km to 450 km,from 450 km to 575 km,from 575 km to 700 km,more than 700 km,,,,,89%,87%,2023,82%,76%,,,,,,,,,,,,,,,,,84.0 kWh,,,,,,,,,,,,,,,,,,9 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,0,0
